Funding organisation,Programmes
World Bank,365
Federal Ministry for Economic Cooperation and Deve,336
Ministry for Foreign Affairs of Finland,308
Swiss Agency for Development and Cooperation (SDC),274
Canada,250
European Commission - Directorate-General for Neighbourhood and Enlargement Negotiations,249
Asian Development Bank,237
European Commission,211
Ministry of Foreign and European Affairs of the Slovak Republic,205
U.S. Agency for International Development,176
Catholic Agency For Overseas Development (CAFOD),133
UAE Ministry of Foreign Affairs,128
Directorate-General for European Civil Protection,127
International Development Association,121
Netherlands Enterprise Agency,100
DFAT / Irish Aid,92
World Health Organization,92
New Zealand Ministry of Foreign Affairs and Trade,91
"Foreign, Commonwealth and Development Office (FCDO",86
United Nations Office for Project Services,84
International Bank for Reconstruction and Developm,77
MAEDI,77
World Bank Trust Funds,74
Office for Government Policy Coordination,71
MINISTRY OF FOREIGN AFFAIRS IN JAPAN,69
"Ministry of Foreign Affairs, Denmark",69
Belgian Development Cooperation,68
European Commission - Directorate-General for International Partnerships,67
Germany - Federal Foreign Office,66
France,62
Denmark - Ministry of Foreign Affairs,59
Norwegian Government,59
"UK - Foreign, Commonwealth Development Office (FCDO)",59
UN Pooled Funds,58
Bundesministerium fÃ¼r wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),54
United Nations Development Programme,45
Aqua for All,43
AICS - Italian Agency for Cooperation and Developm,39
United Nations Office for the Coordination of Huma,37
AFD,34
Sweden,34
Food and Agriculture Organization (FAO),33
Nuffic,31
Inter-American Development Bank,28
Pact,28
Canada. Parliament,27
Germany,26
Global Environment Facility,26
Directorate-general Development Cooperation and Hu,23
Global Green Growth Institute,22
Invest International B.V.,22
Ministry of the Economy and Finance of Benin,22
Secours Catholique-Caritas France,21
AECID Agencia EspaÃ±ola de CooperaciÃ³n Internacional para el Desarrollo,20
Malaria Consortium,18
Oxfam Australia,18
Cordaid,16
GSMA Foundation,16
King Salman Humanitarian Aid and Relief Centre,16
Ministry of Foreign and European Affairs of the Sl,16
AidData,15
Commission of the European Communities,15
Sightsavers,15
"Foreign Affairs, Trade and Development Canada (DFATD)",14
Global Environment Fund Truste,14
RIKOLTO,14
Practical Action,13
TRIAS,13
Stichting Agriterra,12
ARES - AcadÃ©mie de Recherche et dâEnseignement supÃ©rieur,11
BD,11
Japan International Cooperation Agency,11
Millennium Challenge Corporation,11
Australia - Ministry for Foreign Affairs and Trade,10
Belgian agency for international cooperation (Enabel),10
DAI Europe,10
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",10
UNITED NATIONS DEVELOPMENT PROGRAMME,10
VLIR-UOS,10
Belgium,9
